,AUD,CAD,CHF,DKK,EUR,GBP,HKD,ILS,JPY,NOK,NZD,SEK,SGD,USD
2004-04-01,0.01893780697646763,0.027917120992300634,0.03161777490921877,0.007736015873461559,0.15907252908022781,0.09348655482774999,0.012277215770629651,-0.005546030937346097,0.08726914388311832,-0.00942700976770483,-0.005124448534433279,0.010751383587654026,0.0033087641139083503,0.5542066082127177
2004-04-02,0.01862839971152014,0.02823691185713545,0.03172366579738024,0.007757507142432861,0.15912964140235947,0.09326754249937179,0.012142350619024966,-0.005488575837704859,0.08730752802939135,-0.0093352067001512,-0.0051856207358295,0.010705820686240985,0.003587339574434899,0.5540389347193689
2004-04-06,0.0182089551309072,0.02869345807592656,0.03124967913828306,0.00788860183769518,0.16006444666995995,0.09340707180942498,0.011561701883928466,-0.005524741171185371,0.0871012733633815,-0.00916926372245419,-0.005563998073725471,0.010035513140786989,0.004087101471338682,0.5535217191728308
2004-04-07,0.017958508105626436,0.028196598897332364,0.031114989018362516,0.007556629189770743,0.16043187054011024,0.09339538060799982,0.011648650620937895,-0.005674932844181357,0.08710165533704686,-0.009135547169194846,-0.005174572394775326,0.010296328454957218,0.004003931777779982,0.5537179580669576
2004-04-14,0.017908929961897246,0.028321013393460354,0.03115159187609401,0.0075516172573840065,0.16035391073470454,0.09338474056697255,0.011693918306753232,-0.00565681389024536,0.08705912533991905,-0.009124017343761226,-0.00516394772384909,0.010346809621594857,0.003994847801403124,0.5536216763410511
2004-04-15,0.0179611895010926,0.028309861262172595,0.031237545813745195,0.007456923094716725,0.15998010695375595,0.09309093140429474,0.011641844268175494,-0.0056204307262238545,0.08702381503040416,-0.008927640046764829,-0.005087210317129602,0.010778567089893304,0.004070744464458641,0.553510054334175
2004-04-16,0.01829642906239143,0.02784473421375966,0.03144295175700183,0.007636705365449553,0.16042339660035607,0.09278328034343289,0.011810719456965296,-0.0055944688949488425,0.0869908763258988,-0.008936229121400241,-0.004971818153990025,0.01041960389212418,0.00373187878031467,0.5536556182891682
2004-04-19,0.018385744218130107,0.02781394177991804,0.0314076668055238,0.007558642654529116,0.16043223436354917,0.09275261847440015,0.011706866864215432,-0.005459100758576439,0.08687628756126387,-0.008808666205971427,-0.004809623366275644,0.010392395619303642,0.0037715270470831865,0.5537032497004847
2004-04-20,0.019039819093739085,0.028228132823454266,0.03144335892857803,0.008071849837532459,0.16177795251122948,0.09223427184938612,0.011658155707830853,-0.005217433939809238,0.0870914553445277,-0.009322620615991428,-0.005509736353716974,0.009889211640321006,0.0033467784113828444,0.5527576961030962
2004-04-21,0.019495795124430504,0.02798158636803351,0.03124315108174494,0.007688132010153434,0.16256236666988336,0.09232498476060699,0.01193002745206695,-0.005275052352866572,0.08702553607688776,-0.009364145077250252,-0.005631538727976268,0.009922637572525088,0.0030039655634923126,0.5528977254313312
